env,env_id,algo,cap,seeds,audit_false_issued,audit_ep_cp90_upper,audit_ep_cp95_upper,test_cost_mean,test_violation_rate,test_false_issued,test_ep_cp90_upper,test_ep_cp95_upper,test_episode_false,test_episode_yield,test_block_risk,test_block_yield,issued_steps_per_episode
Ball,OfflineBallCircle-v0,coptidice,1,3,521/600,0.8859,0.8905,33.9283+/-6.0271,0.8617+/-0.1225,517/600,0.8796,0.8843,0.8617+/-0.1225,1.0000+/-0.0000,0.8617+/-0.1225,0.0050+/-0.0000,1.0000+/-0.0000
Ball,OfflineBallCircle-v0,coptidice,2,3,521/600,0.8859,0.8905,33.9283+/-6.0271,0.8617+/-0.1225,517/600,0.8796,0.8843,0.8617+/-0.1225,1.0000+/-0.0000,0.8617+/-0.1225,0.0100+/-0.0000,2.0000+/-0.0000
Ball,OfflineBallCircle-v0,coptidice,4,3,521/600,0.8859,0.8905,33.9283+/-6.0271,0.8617+/-0.1225,517/600,0.8796,0.8843,0.8617+/-0.1225,1.0000+/-0.0000,0.8617+/-0.1225,0.0200+/-0.0000,4.0000+/-0.0000
Ball,OfflineBallCircle-v0,coptidice,8,3,521/600,0.8859,0.8905,33.9283+/-6.0271,0.8617+/-0.1225,517/600,0.8796,0.8843,0.8617+/-0.1225,1.0000+/-0.0000,0.8617+/-0.1225,0.0400+/-0.0000,8.0000+/-0.0000
Ball,OfflineBallCircle-v0,cpq,1,3,0/600,0.0038,0.0050,0.0733+/-0.1185,0.0000+/-0.0000,0/600,0.0038,0.0050,0.0000+/-0.0000,1.0000+/-0.0000,0.0000+/-0.0000,0.0050+/-0.0000,1.0000+/-0.0000
Ball,OfflineBallCircle-v0,cpq,2,3,0/600,0.0038,0.0050,0.0733+/-0.1185,0.0000+/-0.0000,0/600,0.0038,0.0050,0.0000+/-0.0000,1.0000+/-0.0000,0.0000+/-0.0000,0.0100+/-0.0000,2.0000+/-0.0000
Ball,OfflineBallCircle-v0,cpq,4,3,0/600,0.0038,0.0050,0.0733+/-0.1185,0.0000+/-0.0000,0/600,0.0038,0.0050,0.0000+/-0.0000,1.0000+/-0.0000,0.0000+/-0.0000,0.0200+/-0.0000,4.0000+/-0.0000
Ball,OfflineBallCircle-v0,cpq,8,3,0/600,0.0038,0.0050,0.0733+/-0.1185,0.0000+/-0.0000,0/600,0.0038,0.0050,0.0000+/-0.0000,1.0000+/-0.0000,0.0000+/-0.0000,0.0400+/-0.0000,8.0000+/-0.0000
Car,OfflineCarCircle-v0,coptidice,1,3,372/600,0.6459,0.6529,30.9300+/-12.4071,0.6250+/-0.1863,375/600,0.6508,0.6578,0.6250+/-0.1863,1.0000+/-0.0000,0.6250+/-0.1863,0.0033+/-0.0000,1.0000+/-0.0000
Car,OfflineCarCircle-v0,coptidice,2,3,372/600,0.6459,0.6529,30.9300+/-12.4071,0.6250+/-0.1863,375/600,0.6508,0.6578,0.6250+/-0.1863,1.0000+/-0.0000,0.6250+/-0.1863,0.0067+/-0.0000,2.0000+/-0.0000
Car,OfflineCarCircle-v0,coptidice,4,3,372/600,0.6459,0.6529,30.9300+/-12.4071,0.6250+/-0.1863,375/600,0.6508,0.6578,0.6250+/-0.1863,1.0000+/-0.0000,0.6250+/-0.1863,0.0133+/-0.0000,4.0000+/-0.0000
Car,OfflineCarCircle-v0,coptidice,8,3,372/600,0.6459,0.6529,30.9300+/-12.4071,0.6250+/-0.1863,375/600,0.6508,0.6578,0.6250+/-0.1863,1.0000+/-0.0000,0.6250+/-0.1863,0.0267+/-0.0000,8.0000+/-0.0000
Car,OfflineCarCircle-v0,cpq,1,3,3/600,0.0111,0.0129,0.7367+/-0.6757,0.0117+/-0.0104,7/600,0.0195,0.0218,0.0117+/-0.0104,1.0000+/-0.0000,0.0117+/-0.0104,0.0033+/-0.0000,1.0000+/-0.0000
Car,OfflineCarCircle-v0,cpq,2,3,3/600,0.0111,0.0129,0.7367+/-0.6757,0.0117+/-0.0104,7/600,0.0195,0.0218,0.0117+/-0.0104,1.0000+/-0.0000,0.0117+/-0.0104,0.0067+/-0.0000,2.0000+/-0.0000
Car,OfflineCarCircle-v0,cpq,4,3,3/600,0.0111,0.0129,0.7367+/-0.6757,0.0117+/-0.0104,7/600,0.0195,0.0218,0.0117+/-0.0104,1.0000+/-0.0000,0.0117+/-0.0104,0.0133+/-0.0000,4.0000+/-0.0000
Car,OfflineCarCircle-v0,cpq,8,3,3/600,0.0111,0.0129,0.7367+/-0.6757,0.0117+/-0.0104,7/600,0.0195,0.0218,0.0117+/-0.0104,1.0000+/-0.0000,0.0117+/-0.0104,0.0267+/-0.0000,8.0000+/-0.0000
