env,env_id,algo,cap,seeds,audit_false_issued,audit_ep_cp90_upper,audit_ep_cp95_upper,test_cost_mean,test_violation_rate,test_false_issued,test_ep_cp90_upper,test_ep_cp95_upper,test_episode_false,test_episode_yield,test_block_risk,test_block_yield,issued_steps_per_episode
Ball,OfflineBallCircle-v0,coptidice,1,3,520/600,0.8844,0.8889,34.4583+/-5.4721,0.8817+/-0.0896,529/600,0.8984,0.9028,0.8817+/-0.0896,1.0000+/-0.0000,0.8817+/-0.0896,0.0050+/-0.0000,1.0000+/-0.0000
Ball,OfflineBallCircle-v0,coptidice,2,3,520/600,0.8844,0.8889,34.4583+/-5.4721,0.8817+/-0.0896,529/600,0.8984,0.9028,0.8817+/-0.0896,1.0000+/-0.0000,0.8817+/-0.0896,0.0100+/-0.0000,2.0000+/-0.0000
Ball,OfflineBallCircle-v0,coptidice,4,3,520/600,0.8844,0.8889,34.4583+/-5.4721,0.8817+/-0.0896,529/600,0.8984,0.9028,0.8817+/-0.0896,1.0000+/-0.0000,0.8817+/-0.0896,0.0200+/-0.0000,4.0000+/-0.0000
Ball,OfflineBallCircle-v0,coptidice,8,3,520/600,0.8844,0.8889,34.4583+/-5.4721,0.8817+/-0.0896,529/600,0.8984,0.9028,0.8817+/-0.0896,1.0000+/-0.0000,0.8817+/-0.0896,0.0400+/-0.0000,8.0000+/-0.0000
Ball,OfflineBallCircle-v0,coptidice,16,3,520/600,0.8844,0.8889,34.4583+/-5.4721,0.8817+/-0.0896,529/600,0.8984,0.9028,0.8817+/-0.0896,1.0000+/-0.0000,0.8817+/-0.0896,0.0800+/-0.0000,16.0000+/-0.0000
Ball,OfflineBallCircle-v0,coptidice,32,3,520/600,0.8844,0.8889,34.4583+/-5.4721,0.8817+/-0.0896,529/600,0.8984,0.9028,0.8817+/-0.0896,1.0000+/-0.0000,0.8817+/-0.0896,0.1600+/-0.0000,32.0000+/-0.0000
Ball,OfflineBallCircle-v0,coptidice,64,3,520/600,0.8844,0.8889,34.4583+/-5.4721,0.8817+/-0.0896,529/600,0.8984,0.9028,0.8817+/-0.0896,1.0000+/-0.0000,0.8817+/-0.0896,0.3200+/-0.0000,64.0000+/-0.0000
Ball,OfflineBallCircle-v0,cpq,1,3,0/600,0.0038,0.0050,0.0400+/-0.0608,0.0000+/-0.0000,0/600,0.0038,0.0050,0.0000+/-0.0000,1.0000+/-0.0000,0.0000+/-0.0000,0.0050+/-0.0000,1.0000+/-0.0000
Ball,OfflineBallCircle-v0,cpq,2,3,0/600,0.0038,0.0050,0.0400+/-0.0608,0.0000+/-0.0000,0/600,0.0038,0.0050,0.0000+/-0.0000,1.0000+/-0.0000,0.0000+/-0.0000,0.0100+/-0.0000,2.0000+/-0.0000
Ball,OfflineBallCircle-v0,cpq,4,3,0/600,0.0038,0.0050,0.0400+/-0.0608,0.0000+/-0.0000,0/600,0.0038,0.0050,0.0000+/-0.0000,1.0000+/-0.0000,0.0000+/-0.0000,0.0200+/-0.0000,4.0000+/-0.0000
