env,env_id,algo,cap,seeds,audit_false_issued,audit_ep_cp90_upper,audit_ep_cp95_upper,test_cost_mean,test_violation_rate,test_false_issued,test_ep_cp90_upper,test_ep_cp95_upper,test_episode_false,test_episode_yield,test_block_risk,test_block_yield,issued_steps_per_episode
Ball,OfflineBallCircle-v0,coptidice,64,3,533/600,0.9047,0.9089,34.3250+/-6.2955,0.8883+/-0.0907,533/600,0.9047,0.9089,0.8883+/-0.0907,1.0000+/-0.0000,0.8883+/-0.0907,0.3200+/-0.0000,64.0000+/-0.0000
Ball,OfflineBallCircle-v0,coptidice,128,3,533/600,0.9047,0.9089,34.3250+/-6.2955,0.8883+/-0.0907,533/600,0.9047,0.9089,0.8883+/-0.0907,1.0000+/-0.0000,0.8883+/-0.0907,0.6400+/-0.0000,128.0000+/-0.0000
Ball,OfflineBallCircle-v0,coptidice,256,3,533/600,0.9047,0.9089,34.3250+/-6.2955,0.8883+/-0.0907,533/600,0.9047,0.9089,0.8883+/-0.0907,1.0000+/-0.0000,0.8883+/-0.0907,1.0000+/-0.0000,200.0000+/-0.0000
Ball,OfflineBallCircle-v0,coptidice,512,3,533/600,0.9047,0.9089,34.3250+/-6.2955,0.8883+/-0.0907,533/600,0.9047,0.9089,0.8883+/-0.0907,1.0000+/-0.0000,0.8883+/-0.0907,1.0000+/-0.0000,200.0000+/-0.0000
Ball,OfflineBallCircle-v0,cpq,64,3,0/600,0.0038,0.0050,0.0633+/-0.1097,0.0000+/-0.0000,0/600,0.0038,0.0050,0.0000+/-0.0000,1.0000+/-0.0000,0.0000+/-0.0000,0.3200+/-0.0000,64.0000+/-0.0000
Ball,OfflineBallCircle-v0,cpq,128,3,0/600,0.0038,0.0050,0.0633+/-0.1097,0.0000+/-0.0000,0/600,0.0038,0.0050,0.0000+/-0.0000,1.0000+/-0.0000,0.0000+/-0.0000,0.6400+/-0.0000,128.0000+/-0.0000
Ball,OfflineBallCircle-v0,cpq,256,3,0/600,0.0038,0.0050,0.0633+/-0.1097,0.0000+/-0.0000,0/600,0.0038,0.0050,0.0000+/-0.0000,1.0000+/-0.0000,0.0000+/-0.0000,1.0000+/-0.0000,200.0000+/-0.0000
Ball,OfflineBallCircle-v0,cpq,512,3,0/600,0.0038,0.0050,0.0633+/-0.1097,0.0000+/-0.0000,0/600,0.0038,0.0050,0.0000+/-0.0000,1.0000+/-0.0000,0.0000+/-0.0000,1.0000+/-0.0000,200.0000+/-0.0000
Car,OfflineCarCircle-v0,coptidice,64,3,370/600,0.6426,0.6497,29.7383+/-10.2637,0.6083+/-0.1683,365/600,0.6344,0.6415,0.6083+/-0.1683,1.0000+/-0.0000,0.6083+/-0.1683,0.2133+/-0.0000,64.0000+/-0.0000
Car,OfflineCarCircle-v0,coptidice,128,3,370/600,0.6426,0.6497,29.7383+/-10.2637,0.6083+/-0.1683,365/600,0.6344,0.6415,0.6083+/-0.1683,1.0000+/-0.0000,0.6083+/-0.1683,0.4267+/-0.0000,128.0000+/-0.0000
Car,OfflineCarCircle-v0,coptidice,256,3,370/600,0.6426,0.6497,29.7383+/-10.2637,0.6083+/-0.1683,365/600,0.6344,0.6415,0.6083+/-0.1683,1.0000+/-0.0000,0.6083+/-0.1683,0.8533+/-0.0000,256.0000+/-0.0000
Car,OfflineCarCircle-v0,coptidice,512,3,370/600,0.6426,0.6497,29.7383+/-10.2637,0.6083+/-0.1683,365/600,0.6344,0.6415,0.6083+/-0.1683,1.0000+/-0.0000,0.6083+/-0.1683,1.0000+/-0.0000,300.0000+/-0.0000
Car,OfflineCarCircle-v0,cpq,64,3,11/600,0.0275,0.0302,1.1000+/-0.0265,0.0200+/-0.0173,12/600,0.0295,0.0322,0.0200+/-0.0173,1.0000+/-0.0000,0.0200+/-0.0173,0.2133+/-0.0000,64.0000+/-0.0000
Car,OfflineCarCircle-v0,cpq,128,3,11/600,0.0275,0.0302,1.1000+/-0.0265,0.0200+/-0.0173,12/600,0.0295,0.0322,0.0200+/-0.0173,1.0000+/-0.0000,0.0200+/-0.0173,0.4267+/-0.0000,128.0000+/-0.0000
Car,OfflineCarCircle-v0,cpq,256,3,11/600,0.0275,0.0302,1.1000+/-0.0265,0.0200+/-0.0173,12/600,0.0295,0.0322,0.0200+/-0.0173,1.0000+/-0.0000,0.0200+/-0.0173,0.8533+/-0.0000,256.0000+/-0.0000
Car,OfflineCarCircle-v0,cpq,512,3,11/600,0.0275,0.0302,1.1000+/-0.0265,0.0200+/-0.0173,12/600,0.0295,0.0322,0.0200+/-0.0173,1.0000+/-0.0000,0.0200+/-0.0173,1.0000+/-0.0000,300.0000+/-0.0000
Drone,OfflineDroneCircle-v0,coptidice,64,3,587/600,0.9855,0.9871,56.9533+/-1.3395,0.9600+/-0.0409,576/600,0.9699,0.9723,0.9600+/-0.0409,1.0000+/-0.0000,0.9604+/-0.0403,0.2353+/-0.0091,63.9100+/-0.1559
Drone,OfflineDroneCircle-v0,coptidice,128,3,587/600,0.9855,0.9871,56.9533+/-1.3395,0.9600+/-0.0409,576/600,0.9699,0.9723,0.9600+/-0.0409,1.0000+/-0.0000,0.9624+/-0.0397,0.4657+/-0.0161,126.5317+/-1.6857
Drone,OfflineDroneCircle-v0,coptidice,256,3,587/600,0.9855,0.9871,56.9533+/-1.3395,0.9600+/-0.0409,576/600,0.9699,0.9723,0.9600+/-0.0409,1.0000+/-0.0000,0.9680+/-0.0380,0.8699+/-0.0043,236.5133+/-8.9807
Drone,OfflineDroneCircle-v0,coptidice,512,3,587/600,0.9855,0.9871,56.9533+/-1.3395,0.9600+/-0.0409,576/600,0.9699,0.9723,0.9600+/-0.0409,1.0000+/-0.0000,0.9689+/-0.0379,1.0000+/-0.0000,271.9133+/-10.9786
Drone,OfflineDroneCircle-v0,cpq,64,3,87/600,0.1651,0.1708,12.8400+/-9.5846,0.1500+/-0.1361,90/600,0.1704,0.1761,0.1500+/-0.1361,1.0000+/-0.0000,0.2212+/-0.1762,0.7794+/-0.1167,37.0100+/-11.7911
