file,algo,env,seed,risk_quantile,method,block_risk,block_yield,block_realized_failure,episode_risk,episode_yield,episode_realized_failure,episode_count,episode_issued,episode_failures,mean_issued_blocks_per_episode
outputs\phase_dsrl_episode_proxy_coptidice_car_q92_modelbest_seed20260624_server.json,coptidice,OfflineCarCircle-v0,20260624,0.92,accs_v0_support_safety,0.019982902329557597,0.7798333333333334,0.06858333333333333,0.4068965517241379,1.0,0.896551724137931,290,290,118,32.26896551724138
outputs\phase_dsrl_episode_proxy_coptidice_car_q92_modelbest_seed20260625_server.json,coptidice,OfflineCarCircle-v0,20260625,0.92,accs_v0_support_safety,0.0210259797446059,0.757,0.07383333333333333,0.4379310344827586,1.0,0.8896551724137931,290,290,127,31.324137931034482
outputs\phase_dsrl_episode_proxy_coptidice_car_q92_modelbest_seed20260626_server.json,coptidice,OfflineCarCircle-v0,20260626,0.92,accs_v0_support_safety,0.02398769861609431,0.8129166666666666,0.06483333333333334,0.4862068965517241,1.0,0.8689655172413793,290,290,141,33.63793103448276
outputs\phase_dsrl_episode_proxy_coptidice_car_q92_modelbest_seed20260624_server.json,coptidice,OfflineCarCircle-v0,20260624,0.92,crc_style_safety_threshold,0.019982902329557597,0.7798333333333334,0.06858333333333333,0.4068965517241379,1.0,0.896551724137931,290,290,118,32.26896551724138
outputs\phase_dsrl_episode_proxy_coptidice_car_q92_modelbest_seed20260625_server.json,coptidice,OfflineCarCircle-v0,20260625,0.92,crc_style_safety_threshold,0.02142235754675946,0.7663333333333333,0.07316666666666667,0.4689655172413793,1.0,0.8793103448275862,290,290,136,31.71034482758621
outputs\phase_dsrl_episode_proxy_coptidice_car_q92_modelbest_seed20260626_server.json,coptidice,OfflineCarCircle-v0,20260626,0.92,crc_style_safety_threshold,0.026959058444824463,0.8284166666666667,0.06591666666666667,0.5413793103448276,1.0,0.8689655172413793,290,290,157,34.279310344827586
outputs\phase_dsrl_episode_proxy_coptidice_car_q92_modelbest_seed20260624_server.json,coptidice,OfflineCarCircle-v0,20260624,0.92,global_candidate_cp,0.0013227513227513227,0.063,0.0625,0.004132231404958678,0.8344827586206897,0.8413793103448276,290,242,1,2.606896551724138
outputs\phase_dsrl_episode_proxy_coptidice_car_q92_modelbest_seed20260625_server.json,coptidice,OfflineCarCircle-v0,20260625,0.92,global_candidate_cp,0.0016835016835016834,0.099,0.06816666666666667,0.007246376811594203,0.9517241379310345,0.8413793103448276,290,276,2,4.096551724137931
outputs\phase_dsrl_episode_proxy_coptidice_car_q92_modelbest_seed20260626_server.json,coptidice,OfflineCarCircle-v0,20260626,0.92,global_candidate_cp,0.0010362694300518134,0.08041666666666666,0.05566666666666667,0.0037735849056603774,0.9137931034482759,0.7689655172413793,290,265,1,3.3275862068965516
outputs\phase_dsrl_episode_proxy_coptidice_car_q92_modelbest_seed20260624_server.json,coptidice,OfflineCarCircle-v0,20260624,0.92,none_original_proposer,0.089,1.0,0.089,0.9482758620689655,1.0,0.9482758620689655,290,290,275,41.37931034482759
