file,proposer,env,seed,horizon,risk_quantile,checkpoint_tag,candidate_false,top_false,selection_gap,none_reward,global_risk,global_yield,reward_bin_risk,reward_bin_yield,crc_risk,crc_yield,accs_risk,accs_yield,accs_reward,action_match_mean,action_match_median
outputs\phase_dsrl_coptidice_checkpoint_10k_q92_h20_modelbest_seed20260624_server.json,COptiDICE,OfflineCarCircle-v0,20260624,20,0.92,model_best,0.060533854166666665,0.06958333333333333,0.009049479166666666,0.7933249473571777,0.0,0.12425,0.029676558852950983,0.49983333333333335,0.02541026998411858,0.9445,0.020682245500940104,0.93075,0.7919091582298279,0.062056586146354675,0.03857341408729553
outputs\phase_dsrl_coptidice_checkpoint_10k_q92_h20_modelbest_seed20260625_server.json,COptiDICE,OfflineCarCircle-v0,20260625,20,0.92,model_best,0.07491796875,0.0855,0.010582031250000012,0.8014587163925171,0.000481000481000481,0.17325,0.05305485535950066,0.69425,0.033244206773618536,0.935,0.025800631483987372,0.92375,0.7999828457832336,0.052542660385370255,0.03446774184703827
outputs\phase_dsrl_coptidice_checkpoint_10k_q92_h20_modelbest_seed20260626_server.json,COptiDICE,OfflineCarCircle-v0,20260626,20,0.92,model_best,0.06257552083333333,0.0655,0.002924479166666674,0.7870756983757019,0.0007363770250368188,0.11316666666666667,0.037496435700028516,0.5845,0.017370390165686797,0.9355,0.017370390165686797,0.9355,0.7858846187591553,0.04935368150472641,0.03276628628373146
outputs\phase_dsrl_coptidice_checkpoint_10k_q92_h80_modelbest_seed20260624_server.json,COptiDICE,OfflineCarCircle-v0,20260624,80,0.92,model_best,0.060450520833333334,0.06325,0.002799479166666667,0.8197786211967468,0.05488586817132598,0.97475,0.044743935309973046,0.9275,0.03289473684210526,0.8866666666666667,0.029497380166893072,0.8588333333333333,0.8110106587409973,0.062056586146354675,0.03857341408729553
outputs\phase_dsrl_coptidice_checkpoint_10k_q92_h80_modelbest_seed20260625_server.json,COptiDICE,OfflineCarCircle-v0,20260625,80,0.92,model_best,0.06244661458333333,0.07116666666666667,0.00872005208333334,0.8219214677810669,0.06408952187182096,0.983,0.061011529075149375,0.99025,0.0430987452264048,0.9165,0.037787669286864285,0.8799166666666667,0.8162117600440979,0.052542660385370255,0.03446774184703827
outputs\phase_dsrl_coptidice_checkpoint_10k_q92_h80_modelbest_seed20260626_server.json,COptiDICE,OfflineCarCircle-v0,20260626,80,0.92,model_best,0.045897135416666665,0.057416666666666664,0.01151953125,0.8113189935684204,0.05057803468208093,0.9803333333333333,0.046474501108647454,0.9395833333333333,0.038937073260749216,0.9031666666666667,0.03079299691040165,0.8091666666666667,0.7879221439361572,0.04935368150472641,0.03276628628373146
outputs\phase_dsrl_cpq_checkpoint_10k_q92_h20_modelbest_seed20260624_server.json,CPQ,OfflineCarCircle-v0,20260624,20,0.92,model_best,0.053953125,0.057833333333333334,0.003880208333333336,0.6037184000015259,0.002803738317757009,0.08916666666666667,0.0071365969700763745,0.6655833333333333,0.028722207803443204,0.96325,0.01929824561403509,0.95,0.6000773310661316,0.061200711876153946,0.02497108280658722
outputs\phase_dsrl_cpq_checkpoint_10k_q92_h20_modelbest_seed20260625_server.json,CPQ,OfflineCarCircle-v0,20260625,20,0.92,model_best,0.06830989583333333,0.07333333333333333,0.005023437500000005,0.6059299111366272,0.0035778175313059034,0.09316666666666666,0.011558583769315001,0.6849166666666666,0.029882415347891433,0.9425833333333333,0.029882415347891433,0.9425833333333333,0.6025046110153198,0.0694383904337883,0.027452001348137856
outputs\phase_dsrl_cpq_checkpoint_10k_q92_h20_modelbest_seed20260626_server.json,CPQ,OfflineCarCircle-v0,20260626,20,0.92,model_best,0.054096354166666666,0.056,0.0019036458333333353,0.6070498824119568,0.0012077294685990338,0.069,0.00799400449662753,0.6671666666666667,0.018644957983193277,0.952,0.018644957983193277,0.952,0.6040005683898926,0.09338949620723724,0.04038592427968979
outputs\phase_dsrl_cpq_checkpoint_10k_q92_h80_modelbest_seed20260624_server.json,CPQ,OfflineCarCircle-v0,20260624,80,0.92,model_best,0.06370182291666666,0.0695,0.005798177083333342,0.6489862203598022,0.034156840726183794,0.8905,0.009152985616736888,0.5735833333333333,0.02979032592900145,0.8028333333333333,0.026306392096179028,0.7000833333333333,0.6298644542694092,0.061200711876153946,0.02497108280658722
outputs\phase_dsrl_cpq_checkpoint_10k_q92_h80_modelbest_seed20260625_server.json,CPQ,OfflineCarCircle-v0,20260625,80,0.92,model_best,0.07076171875,0.08125,0.010488281250000009,0.6524941325187683,0.050082553659878924,0.9085,0.03235146022155085,0.662,0.050082553659878924,0.9085,0.04797628971010466,0.89975,0.6481072306632996,0.0694383904337883,0.027452001348137856
outputs\phase_dsrl_cpq_checkpoint_10k_q92_h80_modelbest_seed20260626_server.json,CPQ,OfflineCarCircle-v0,20260626,80,0.92,model_best,0.055126302083333335,0.060583333333333336,0.005457031250000001,0.6601381897926331,0.03906036602021306,0.91525,0.015677491601343786,0.5953333333333334,0.03774293493568679,0.8875833333333333,0.033893034825870645,0.804,0.6491785645484924,0.09338949620723724,0.04038592427968979
